name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
"SunFlower, A Sunny B&B + 2 Bicycles",Centrum-Oost,52.35853,4.89751,Private room,90,3,34,0.46,2,0
"Luxurious 17C Canal Villa Apt, Low-cost Parking",Oud-Noord,52.39992,4.92,Entire home/apt,175,2,75,0.87,1,326
Cozy Central Apartment Amsterdam,De Baarsjes - Oud-West,52.35901,4.8644,Entire home/apt,169,2,28,0.32,1,0
*historic centre* *bright* *canal view* *jordaan*,Centrum-West,52.37143,4.87667,Entire home/apt,230,3,80,0.82,2,348
40 m2 Appartment near Leidseplein ,De Baarsjes - Oud-West,52.36684,4.87676,Entire home/apt,100,3,100,1.19,1,0
Excellent Room-2 Centre Amsterdam,Centrum-Oost,52.36176,4.89321,Private room,115,2,10,0.16,2,0
Comfy and cozy private apartment,De Baarsjes - Oud-West,52.36253,4.86391,Entire home/apt,111,1,48,0.49,1,0
Ground floor apartment with patio in De Pijp,De Pijp - Rivierenbuurt,52.35718,4.89654,Entire home/apt,150,3,12,0.12,1,0
"""The Roosevelt Apt""  Amsterdam RAI",De Pijp - Rivierenbuurt,52.341429999999995,4.89142,Entire home/apt,199,2,38,0.41,1,0
76m2 app near center&park&amstel,Oud-Oost,52.35562,4.91536,Entire home/apt,107,7,50,0.51,1,331
Elegant Appartement Central Location.,De Pijp - Rivierenbuurt,52.35729,4.90163,Entire home/apt,226,2,298,3.08,3,318
Familyhome easy airport connection!,Zuid,52.34919,4.85889,Entire home/apt,88,1,32,0.33,1,0
beautiful designed ap.+bikes+garden,De Pijp - Rivierenbuurt,52.3555,4.89215,Private room,189,3,514,5.21,2,0
"DELUXE PENTHOUSE, Very Center A'dam",Centrum-Oost,52.36902,4.90194,Entire home/apt,295,7,20,0.21,1,260
Lovely FAMILY house near Vondelpark,De Baarsjes - Oud-West,52.36182,4.856990000000001,Entire home/apt,275,2,27,0.34,1,0
Stay at 'Perfect appartement in the center' by the,Centrum-Oost,52.368840000000006,4.90648,Entire home/apt,150,4,37,0.38,1,0
cosy quiet studio  garden view C,Watergraafsmeer,52.35584,4.9335,Private room,72,2,288,2.94,1,354
Amstel Nest - an urban retreat for two,Oud-Oost,52.35549,4.908519999999999,Private room,96,3,384,3.96,2,0
SPACIOUS historical Amsterdam apartment 120m2,De Pijp - Rivierenbuurt,52.35711,4.90391,Entire home/apt,169,2,43,0.44,1,0
Cozy room at Magnolia,Oud-Oost,52.35135,4.91779,Private room,75,2,103,1.1,1,261
Luxe boat AMSTERDAM IJBURG!!!,IJburg - Zeeburgereiland,52.36076,4.98876,Entire home/apt,395,7,3,0.05,1,358
★ STYLISH FAMILY HOME - CITY CENTER,De Baarsjes - Oud-West,52.36545,4.8753,Entire home/apt,245,2,79,0.81,1,34
★ Stunning City Centre Apartment #3,Centrum-West,52.37962,4.8945,Entire home/apt,299,7,99,1.02,8,74
"Bright, newly renovated apartment in Center-East",Centrum-Oost,52.37021,4.93007,Entire home/apt,99,6,52,0.59,1,0
Fancy decorated little Tsarina  privéapartment,Centrum-Oost,52.37102,4.930619999999999,Entire home/apt,129,2,198,2.03,2,27
"PEACEFUL HOME IN HISTORIC CENTRE, NEXT TO AMSTEL",Centrum-Oost,52.36248,4.90204,Entire home/apt,300,3,11,0.19,1,0
"Charming,  bright and quiet home center Amsterdam",De Baarsjes - Oud-West,52.36594,4.87807,Entire home/apt,188,3,67,0.68,1,0
Freedom on the water!,Centrum-Oost,52.37213,4.90379,Entire home/apt,280,3,118,1.27,1,189
Private Studio Houseboat *BEST VIEW* @ Amstel,Oud-Oost,52.354659999999996,4.90763,Private room,199,3,81,0.84,2,354
Unforgettable time on a houseboat,Centrum-Oost,52.3647,4.9076,Entire home/apt,440,3,130,1.45,1,0
"Central Loft, Great Rooftop Terrace",Centrum-West,52.37393,4.87793,Entire home/apt,199,2,111,1.14,1,0
"Lovely apt, Amsterdam /Jordaan.",Westerpark,52.37927,4.8775,Entire home/apt,295,4,55,0.58,1,0
Room in Jordaan Heart of Amsterdam,Centrum-West,52.378240000000005,4.88532,Private room,85,3,574,5.9,1,0
Cozy City Centre Studio Apartment,Centrum-Oost,52.36123,4.89489,Entire home/apt,175,2,53,0.54,1,0
Comfortable design apartment with roof terrace,Watergraafsmeer,52.35338,4.934069999999999,Entire home/apt,126,2,186,1.97,1,229
Beautiful spacious 130m family home,Oud-Oost,52.361309999999996,4.92579,Entire home/apt,150,2,8,0.16,1,0
Rooftop Terrace Luxury Loft Centre Amsterdam,De Baarsjes - Oud-West,52.35971,4.86177,Entire home/apt,129,20,23,0.25,1,0
"Charming house, perfect for two!",Zuid,52.35099,4.84665,Entire home/apt,115,4,7,0.12,1,0
Cent Adam Lux (2-4p) Apt 90 sqm(m2),Centrum-Oost,52.363,4.89917,Entire home/apt,299,180,78,0.81,1,358
Sunny Amsterdam East Harbor View,Oostelijk Havengebied - Indische Buurt,52.36958,4.93516,Entire home/apt,145,2,65,0.67,1,275
Beautiful 19th Cent. City Apartment,De Baarsjes - Oud-West,52.36872,4.86022,Entire home/apt,185,3,21,0.22,1,0
★ City Centre Loft #4,Centrum-West,52.37964,4.894419999999999,Entire home/apt,275,7,130,1.35,8,67
Sunny apartment with cat,Bos en Lommer,52.37853,4.85573,Entire home/apt,65,7,16,0.17,1,0
COOL DESIGN HOUSE with WiFi,De Pijp - Rivierenbuurt,52.35298,4.90512,Entire home/apt,109,3,123,1.27,1,1
Bright apt in central Amsterdam,De Baarsjes - Oud-West,52.36994,4.86707,Entire home/apt,140,4,52,0.61,1,0
Charming houseboat near Olympic St.,Zuid,52.34279,4.84985,Entire home/apt,150,3,101,1.05,1,133
Family house in centre of Amsterdam,Oostelijk Havengebied - Indische Buurt,52.37379,4.94488,Entire home/apt,175,4,33,0.35,1,181
Private penthouse on the river IJ,Centrum-West,52.38477,4.893330000000001,Entire home/apt,149,30,20,0.21,1,365
The Warehouse: at home in Amsterdam,Centrum-Oost,52.361470000000004,4.8989,Hotel room,135,1,91,0.96,2,207
Fantastic apartment right in the city centre,Centrum-Oost,52.36446,4.88871,Entire home/apt,149,4,9,0.21,1,0
cosy room with private entrance,De Baarsjes - Oud-West,52.36903,4.8560300000000005,Private room,80,3,397,4.11,1,279
Three colourful art rooms in trendy Pijp,De Pijp - Rivierenbuurt,52.35852,4.90356,Private room,100,2,237,2.46,1,323
creative ground floor house close to Vondelpark,Zuid,52.35353,4.847090000000001,Entire home/apt,105,5,77,0.79,1,0
Houseboat 'Saturnus' Amsterdam,Centrum-Oost,52.37007,4.9017,Entire home/apt,275,3,76,0.83,2,291
FABULOUS MODERN LOFT IN JORDAAN,Centrum-West,52.371159999999996,4.87896,Entire home/apt,175,3,60,0.63,1,320
Great apartment near the centre ,Oud-Oost,52.360479999999995,4.92685,Entire home/apt,110,3,46,0.48,1,0
Central 17th Century Unique House,Centrum-West,52.37393,4.89355,Entire home/apt,175,3,31,0.51,1,19
GROUNDFLOOR IN WESTERPARK + WIFI and a comfy bed,Westerpark,52.3816,4.87211,Entire home/apt,89,2,193,2.05,1,0
Luxurious apartment @ Dam Square,Centrum-West,52.370740000000005,4.89435,Entire home/apt,160,2,150,1.65,1,0
Luxury Canal House | City Centre | Free WIFI,Centrum-West,52.368840000000006,4.88495,Entire home/apt,350,7,24,0.25,1,224
xx,De Baarsjes - Oud-West,52.36975,4.86026,Entire home/apt,125,3,28,0.33,1,0
Cosy apartment along the Amstel.,Oud-Oost,52.35409,4.91289,Entire home/apt,150,2,19,0.32,1,0
Live the life of A'dam on water!,Westerpark,52.39134,4.89067,Private room,105,2,432,5.64,2,285
Spacious studio apartment in A'dam,Slotervaart,52.34932,4.83133,Private room,72,2,38,0.89,1,0
Modern 3 bedroom apt. + garden near Jordaan,De Baarsjes - Oud-West,52.37066,4.86025,Entire home/apt,200,3,54,0.57,1,0
Spacious home with sunny terrace 2p,Slotervaart,52.364020000000004,4.8303400000000005,Entire home/apt,75,2,45,0.47,1,2
Central quiet ap'ment with parcview,Bos en Lommer,52.37594,4.8501,Entire home/apt,79,2,96,1.01,1,0
Authentic place to stay in great location.,De Baarsjes - Oud-West,52.363620000000004,4.86762,Private room,130,7,39,0.44,1,150
"Central, cozy apartment + garden!",De Baarsjes - Oud-West,52.368520000000004,4.85231,Entire home/apt,90,3,24,0.26,2,25
2 floor garden facing Vondelpark,De Baarsjes - Oud-West,52.36165,4.87311,Entire home/apt,400,3,16,0.2,1,0
Private Apartment Good Area + Bikes,De Pijp - Rivierenbuurt,52.340720000000005,4.91,Entire home/apt,140,4,33,0.36,1,83
"Light filled, split level, cosy and clean home",Westerpark,52.38303,4.87512,Entire home/apt,210,4,22,0.23,1,87
"Quiet & spacious apt, near Museums & Concertgebouw",Zuid,52.353640000000006,4.87824,Entire home/apt,117,4,11,0.13,1,0
Centre Amsterdam perfect for family,Centrum-Oost,52.364020000000004,4.887580000000001,Entire home/apt,299,3,60,0.66,1,118
Stylish Design Apartment,Zuid,52.355,4.87611,Private room,140,3,127,1.39,2,280
Light studio in centre of Amsterdam,Westerpark,52.3848,4.87726,Entire home/apt,78,3,93,0.98,1,0
★ Combo City Centre Apartments,Centrum-West,52.37958,4.8945099999999995,Entire home/apt,700,7,109,1.26,8,127
Typical Amsterdam apt. in center,Watergraafsmeer,52.35502,4.9351199999999995,Entire home/apt,120,5,6,0.07,1,0
Familyfriendly Suite incl breakfast,Noord-Oost,52.3955,4.99576,Private room,120,2,2,0.09,1,337
Apartment near centre with amazing view over city,Zuid,52.35022,4.8525,Entire home/apt,155,2,76,0.8,1,85
Space of Love - great vibe in A'dam,Westerpark,52.388740000000006,4.88437,Entire home/apt,125,2,59,0.62,1,0
4 bedroom apartment near the park,De Baarsjes - Oud-West,52.36138,4.85545,Entire home/apt,135,6,0,,1,0
"Charming, Authentic Houseboat Amsterdam Centre",Centrum-West,52.38632,4.8905400000000006,Entire home/apt,290,4,13,0.14,2,20
Bright Canal house with amazing view! @the Jordaan,Centrum-West,52.37813,4.88594,Entire home/apt,160,3,23,0.25,1,45
Beautiful grand appartment (135 m2),Bos en Lommer,52.37762,4.85285,Entire home/apt,180,5,23,0.28,1,0
Somewhere Else,Westerpark,52.39139,4.88874,Private room,110,2,202,4.69,1,0
Connect-Inn: Clear & Cheerful,Slotervaart,52.358670000000004,4.8247599999999995,Private room,80,1,72,0.77,3,0
Comfortable and pleasant apartment,De Baarsjes - Oud-West,52.373059999999995,4.86193,Entire home/apt,169,1,30,0.61,1,0
Beautiful ground floor apartment ,Watergraafsmeer,52.35541,4.93876,Entire home/apt,140,5,57,0.61,1,22
Small cozy private attic room !,De Baarsjes - Oud-West,52.369859999999996,4.85907,Private room,65,3,218,2.37,1,286
Family Friendly Spacious Appartment,Oud-Oost,52.3639,4.92542,Entire home/apt,139,4,7,0.07,1,0
PLAYFUL SPLIT-LEVEL LOFT+GARDEN,Westerpark,52.37472,4.872330000000001,Entire home/apt,295,4,112,1.18,1,365
Luxury apartment + private garden,Bos en Lommer,52.37508,4.857530000000001,Entire home/apt,200,3,60,0.66,1,321
Herengracht: spacious loft + garden,Centrum-West,52.37299,4.88607,Entire home/apt,415,5,16,0.17,3,42
3 bedrooms Apartment+Garden,De Baarsjes - Oud-West,52.37234,4.86229,Entire home/apt,230,1,43,0.74,1,0
Charming canal apartment (75m2),De Baarsjes - Oud-West,52.37296,4.87374,Entire home/apt,110,2,23,0.41,1,0
Cosy Campervan Amsterdam,Gaasperdam - Driemond,52.30676,4.97829,Shared room,60,2,67,0.84,4,178
Spacious house at waterfront,Oostelijk Havengebied - Indische Buurt,52.37245,4.950880000000001,Entire home/apt,299,3,46,0.54,1,107
"Near city center, green area, WIFI",De Baarsjes - Oud-West,52.36694,4.8503300000000005,Entire home/apt,50,5,18,0.19,1,0
* Live like a King @ Prinsengracht,Centrum-West,52.37453,4.88406,Entire home/apt,1750,21,34,0.36,2,365
"B&B WestergasTverblijf , Cosy!",Westerpark,52.384640000000005,4.86984,Entire home/apt,80,2,162,1.82,1,141
Lovely house close to the Jordaan!,Westerpark,52.37823,4.87284,Entire home/apt,125,2,10,0.18,1,0
Amsterdam - conveniently located,De Baarsjes - Oud-West,52.37276,4.87285,Entire home/apt,120,1,22,0.23,1,0
