neighbourhood,room_type,number_of_reviews,reviews_per_month,calculated_host_listings_count,price/night
Westerpark,Entire home/apt,1,0.28,1,69.5
Centrum-West,Entire home/apt,189,6.84,1,250.0
Bijlmer-Oost,Entire home/apt,20,0.6,1,40.0
De Pijp - Rivierenbuurt,Entire home/apt,0,0.0,1,125.0
Oud-Oost,Entire home/apt,15,0.46,1,26.25
De Baarsjes - Oud-West,Entire home/apt,8,0.24,1,56.5
Centrum-Oost,Entire home/apt,25,0.79,1,58.333333333333336
Centrum-Oost,Private room,32,0.97,1,62.5
Noord-West,Entire home/apt,0,0.0,1,75.0
Watergraafsmeer,Entire home/apt,15,0.46,1,97.0
Centrum-West,Entire home/apt,33,1.0,1,83.33333333333333
De Pijp - Rivierenbuurt,Entire home/apt,51,1.54,1,101.0
Bos en Lommer,Entire home/apt,10,0.3,1,40.0
Oud-Oost,Entire home/apt,13,0.54,1,66.66666666666667
De Pijp - Rivierenbuurt,Entire home/apt,17,0.52,1,112.5
Zuid,Entire home/apt,28,0.86,1,75.0
Geuzenveld - Slotermeer,Private room,3,0.09,1,16.0
De Pijp - Rivierenbuurt,Entire home/apt,3,0.17,1,55.0
Centrum-Oost,Entire home/apt,26,0.78,1,200.0
Westerpark,Entire home/apt,37,1.12,1,25.0
De Baarsjes - Oud-West,Entire home/apt,8,0.24,1,120.0
Noord-West,Entire home/apt,30,0.91,1,33.75
Oud-Noord,Entire home/apt,3,0.09,1,32.0
De Baarsjes - Oud-West,Private room,85,2.54,1,39.666666666666664
Centrum-Oost,Entire home/apt,10,0.32,1,83.33333333333333
De Baarsjes - Oud-West,Entire home/apt,1,0.03,1,300.0
Centrum-West,Entire home/apt,21,0.64,2,87.5
Westerpark,Entire home/apt,0,0.0,1,166.66666666666666
Oostelijk Havengebied - Indische Buurt,Entire home/apt,22,0.66,1,58.333333333333336
Westerpark,Entire home/apt,33,1.05,1,87.5
Oud-Oost,Entire home/apt,11,0.33,1,90.0
Zuid,Entire home/apt,12,0.39,1,150.0
Zuid,Entire home/apt,2,0.06,1,57.5
Zuid,Entire home/apt,30,0.91,1,80.0
De Baarsjes - Oud-West,Entire home/apt,1,0.03,1,60.0
Centrum-West,Entire home/apt,3,0.13,1,86.0
Zuid,Entire home/apt,15,0.46,1,28.0
Centrum-Oost,Entire home/apt,0,0.0,1,35.714285714285715
De Pijp - Rivierenbuurt,Entire home/apt,6,0.19,1,187.5
Oud-Oost,Entire home/apt,35,1.07,1,175.0
De Baarsjes - Oud-West,Entire home/apt,1,0.04,1,43.75
Bijlmer-Centrum,Private room,1,0.03,1,10.8
Zuid,Entire home/apt,0,0.0,1,150.0
Westerpark,Entire home/apt,10,0.3,1,52.0
Centrum-West,Entire home/apt,15,0.63,1,45.0
Oostelijk Havengebied - Indische Buurt,Entire home/apt,12,0.37,1,87.5
Noord-Oost,Private room,166,5.03,6,37.5
Oud-Noord,Private room,58,1.81,1,80.0
Oud-Oost,Entire home/apt,15,0.6,1,81.66666666666667
De Pijp - Rivierenbuurt,Entire home/apt,3,0.1,1,62.5
De Pijp - Rivierenbuurt,Private room,36,1.12,3,80.0
Centrum-Oost,Entire home/apt,0,0.0,1,41.666666666666664
Oostelijk Havengebied - Indische Buurt,Entire home/apt,6,0.3,1,89.0
Centrum-Oost,Entire home/apt,25,0.76,1,125.0
Watergraafsmeer,Private room,89,2.73,1,89.0
Buitenveldert - Zuidas,Entire home/apt,17,0.51,1,83.0
De Baarsjes - Oud-West,Entire home/apt,43,1.34,2,140.0
Zuid,Entire home/apt,28,0.84,1,100.0
Centrum-Oost,Private room,2,0.06,1,145.0
Westerpark,Entire home/apt,5,0.16,1,58.5
Noord-Oost,Private room,5,0.15,1,35.0
De Baarsjes - Oud-West,Entire home/apt,8,0.25,1,31.666666666666668
Osdorp,Entire home/apt,4,0.12,1,115.0
Oud-Oost,Entire home/apt,24,0.73,1,67.0
Bos en Lommer,Entire home/apt,5,0.15,1,26.0
De Pijp - Rivierenbuurt,Entire home/apt,2,0.06,1,15.8
IJburg - Zeeburgereiland,Entire home/apt,0,0.0,1,65.0
De Pijp - Rivierenbuurt,Entire home/apt,4,0.12,1,32.5
Bos en Lommer,Entire home/apt,29,1.22,1,52.5
Gaasperdam - Driemond,Private room,7,0.21,1,37.0
De Baarsjes - Oud-West,Private room,2,0.07,2,35.0
Zuid,Entire home/apt,0,0.0,2,46.666666666666664
Centrum-Oost,Entire home/apt,10,0.3,31,50.0
Oud-Oost,Entire home/apt,36,1.1,1,28.75
Osdorp,Private room,36,1.11,2,68.0
Watergraafsmeer,Entire home/apt,4,0.12,1,24.75
Bos en Lommer,Entire home/apt,11,0.34,1,50.0
Oud-Oost,Entire home/apt,9,0.27,1,60.0
Oostelijk Havengebied - Indische Buurt,Entire home/apt,2,0.06,1,79.5
Zuid,Entire home/apt,1,0.03,1,65.5
Centrum-West,Entire home/apt,14,0.42,1,62.5
Bos en Lommer,Entire home/apt,10,0.3,1,37.5
Oud-Oost,Entire home/apt,3,0.09,1,40.0
De Pijp - Rivierenbuurt,Entire home/apt,2,0.06,1,110.0
Centrum-West,Entire home/apt,18,0.55,1,46.666666666666664
Bijlmer-Centrum,Entire home/apt,6,0.36,1,80.0
De Pijp - Rivierenbuurt,Entire home/apt,27,0.83,1,680.0
De Baarsjes - Oud-West,Entire home/apt,24,0.72,1,60.0
Zuid,Entire home/apt,1,0.03,1,60.0
De Baarsjes - Oud-West,Entire home/apt,0,0.0,1,175.0
Osdorp,Entire home/apt,12,0.38,1,55.0
Oud-Oost,Entire home/apt,23,0.69,1,53.333333333333336
Oud-Noord,Entire home/apt,7,0.21,1,43.333333333333336
Zuid,Entire home/apt,17,0.51,1,120.0
De Pijp - Rivierenbuurt,Entire home/apt,19,0.58,1,200.0
Slotervaart,Entire home/apt,18,0.54,2,17.5
Oud-Oost,Entire home/apt,4,0.12,1,35.0
De Baarsjes - Oud-West,Entire home/apt,6,0.18,1,160.0
Bos en Lommer,Entire home/apt,2,0.06,1,60.0
Osdorp,Entire home/apt,41,1.23,1,150.0
De Pijp - Rivierenbuurt,Entire home/apt,0,0.0,1,29.0
Oud-Oost,Entire home/apt,0,0.0,1,75.0
De Pijp - Rivierenbuurt,Entire home/apt,26,0.79,1,46.666666666666664
Centrum-West,Private room,18,0.54,2,99.5
Centrum-Oost,Private room,35,1.09,1,83.33333333333333
Centrum-West,Private room,33,0.99,2,79.5
Bos en Lommer,Entire home/apt,3,0.15,1,27.0
Slotervaart,Private room,12,0.37,1,57.0
Bos en Lommer,Entire home/apt,0,0.0,1,49.5
Buitenveldert - Zuidas,Entire home/apt,2,0.06,1,66.33333333333333
De Baarsjes - Oud-West,Entire home/apt,12,0.37,1,40.0
De Pijp - Rivierenbuurt,Entire home/apt,2,0.06,1,49.5
Oud-Oost,Entire home/apt,2,0.06,38,46.333333333333336
De Pijp - Rivierenbuurt,Entire home/apt,27,0.81,1,78.5
Westerpark,Entire home/apt,15,0.58,1,58.333333333333336
De Baarsjes - Oud-West,Entire home/apt,9,0.27,1,29.75
Zuid,Entire home/apt,1,0.04,1,60.0
Oostelijk Havengebied - Indische Buurt,Entire home/apt,20,0.6,1,25.0
Oostelijk Havengebied - Indische Buurt,Entire home/apt,21,0.64,1,21.25
Oud-Oost,Entire home/apt,8,0.24,34,77.5
De Baarsjes - Oud-West,Entire home/apt,10,0.3,1,50.0
De Baarsjes - Oud-West,Entire home/apt,16,0.48,1,40.0
Noord-Oost,Private room,11,0.33,5,50.0
Oud-Oost,Entire home/apt,17,0.52,1,18.5
Centrum-Oost,Entire home/apt,0,0.0,1,90.0
Oud-Oost,Entire home/apt,12,0.37,2,83.33333333333333
Centrum-West,Entire home/apt,1,0.03,1,100.0
Westerpark,Entire home/apt,6,0.69,1,65.0
Oostelijk Havengebied - Indische Buurt,Entire home/apt,2,0.06,1,15.0
De Baarsjes - Oud-West,Private room,39,1.2,1,40.0
IJburg - Zeeburgereiland,Entire home/apt,6,0.21,1,66.66666666666667
De Baarsjes - Oud-West,Entire home/apt,11,0.34,1,66.66666666666667
De Baarsjes - Oud-West,Private room,17,0.55,1,23.5
Zuid,Private room,6,0.18,2,7.0
Watergraafsmeer,Entire home/apt,9,0.27,1,38.333333333333336
Centrum-West,Entire home/apt,41,1.25,2,46.666666666666664
De Baarsjes - Oud-West,Entire home/apt,10,0.31,2,46.666666666666664
Oud-Oost,Entire home/apt,4,0.12,1,27.666666666666668
Oostelijk Havengebied - Indische Buurt,Entire home/apt,17,0.52,1,75.0
Westerpark,Entire home/apt,0,0.0,2,26.4
Oud-Noord,Private room,2,0.07,1,65.0
De Baarsjes - Oud-West,Entire home/apt,9,0.27,1,80.0
Oostelijk Havengebied - Indische Buurt,Entire home/apt,6,0.18,1,70.0
Centrum-Oost,Entire home/apt,53,1.65,1,69.5
Oud-Oost,Entire home/apt,14,0.43,2,50.0
Westerpark,Entire home/apt,12,0.36,34,40.5
Oud-Oost,Entire home/apt,14,0.44,31,50.0
Watergraafsmeer,Entire home/apt,7,0.22,1,87.5
De Baarsjes - Oud-West,Private room,158,4.88,1,87.5
Noord-West,Private room,25,0.76,1,45.0
Oud-Noord,Entire home/apt,29,0.89,1,76.5
Bos en Lommer,Entire home/apt,4,0.12,1,23.333333333333332
Bos en Lommer,Entire home/apt,13,0.41,1,33.333333333333336
Centrum-West,Private room,152,4.74,1,57.5
Oud-Noord,Entire home/apt,7,0.21,1,25.0
De Pijp - Rivierenbuurt,Entire home/apt,4,0.12,1,62.5
Oud-Oost,Entire home/apt,4,0.12,1,175.0
De Pijp - Rivierenbuurt,Entire home/apt,4,0.12,1,37.0
Bos en Lommer,Entire home/apt,0,0.0,1,33.0
Oud-Oost,Private room,2,0.06,2,33.333333333333336
Westerpark,Entire home/apt,0,0.0,2,58.333333333333336
Bos en Lommer,Entire home/apt,0,0.0,1,60.0
De Baarsjes - Oud-West,Entire home/apt,3,0.1,1,50.0
IJburg - Zeeburgereiland,Entire home/apt,4,0.12,1,75.0
Bos en Lommer,Entire home/apt,3,0.1,1,54.5
Centrum-West,Entire home/apt,2,0.06,1,70.0
Centrum-West,Private room,0,0.0,1,63.0
Slotervaart,Private room,8,0.24,2,30.0
De Pijp - Rivierenbuurt,Entire home/apt,5,0.16,1,120.0
De Pijp - Rivierenbuurt,Entire home/apt,0,0.0,1,125.0
Noord-Oost,Entire home/apt,5,0.15,1,26.666666666666668
Oud-Oost,Entire home/apt,10,0.3,1,84.0
Watergraafsmeer,Entire home/apt,25,0.75,1,50.0
Watergraafsmeer,Entire home/apt,12,0.37,1,43.333333333333336
Oostelijk Havengebied - Indische Buurt,Entire home/apt,2,0.07,1,166.66666666666666
Centrum-West,Entire home/apt,1,0.04,1,70.0
Oud-Noord,Private room,8,0.28,2,65.0
Geuzenveld - Slotermeer,Private room,26,0.8,1,23.75
Centrum-West,Entire home/apt,0,0.0,1,200.0
Bos en Lommer,Entire home/apt,2,0.06,1,60.0
Oud-Oost,Private room,53,1.6,1,87.5
De Pijp - Rivierenbuurt,Entire home/apt,31,0.95,1,49.5
Centrum-West,Entire home/apt,21,0.65,1,75.0
De Pijp - Rivierenbuurt,Entire home/apt,27,0.82,1,33.0
Oostelijk Havengebied - Indische Buurt,Entire home/apt,7,0.22,1,15.833333333333334
Centrum-Oost,Entire home/apt,128,3.95,1,146.0
Geuzenveld - Slotermeer,Entire home/apt,15,0.47,1,47.5
De Pijp - Rivierenbuurt,Entire home/apt,19,0.6,1,40.0
De Baarsjes - Oud-West,Entire home/apt,3,0.09,1,27.5
Centrum-Oost,Entire home/apt,4,0.12,1,64.5
Westerpark,Private room,146,4.45,1,60.0
Oud-Oost,Entire home/apt,7,0.54,1,55.0
Bos en Lommer,Entire home/apt,7,0.21,1,29.666666666666668
De Baarsjes - Oud-West,Entire home/apt,2,0.11,1,112.5
De Baarsjes - Oud-West,Entire home/apt,7,0.22,1,60.0
Oud-Noord,Entire home/apt,3,0.09,1,60.0
Oostelijk Havengebied - Indische Buurt,Entire home/apt,4,0.13,1,45.0
De Baarsjes - Oud-West,Entire home/apt,22,0.67,1,50.0
Westerpark,Entire home/apt,0,0.0,2,54.333333333333336
Bos en Lommer,Private room,84,2.56,2,47.0
Oud-Oost,Entire home/apt,5,0.15,1,147.0
De Baarsjes - Oud-West,Private room,45,1.37,1,75.0
De Baarsjes - Oud-West,Entire home/apt,2,0.06,1,33.333333333333336
Centrum-West,Entire home/apt,4,0.13,1,56.25
Westerpark,Entire home/apt,20,0.61,1,87.5
Watergraafsmeer,Entire home/apt,27,0.82,1,39.5
De Baarsjes - Oud-West,Entire home/apt,14,0.44,1,195.0
Noord-Oost,Entire home/apt,7,0.21,1,50.0
Buitenveldert - Zuidas,Private room,90,2.73,1,72.0
Buitenveldert - Zuidas,Entire home/apt,1,0.04,1,60.5
Buitenveldert - Zuidas,Entire home/apt,39,1.18,1,95.0
Centrum-West,Entire home/apt,0,0.0,1,55.0
Centrum-West,Hotel room,47,2.02,1,61.666666666666664
Zuid,Entire home/apt,15,0.46,1,17.0
Noord-West,Entire home/apt,0,0.0,1,65.0
Oud-Oost,Entire home/apt,38,1.16,1,31.666666666666668
Centrum-Oost,Entire home/apt,121,3.82,1,300.0
De Baarsjes - Oud-West,Private room,61,1.87,1,7.857142857142857
Oud-Oost,Entire home/apt,5,0.15,1,54.5
Centrum-Oost,Entire home/apt,4,0.13,2,74.5
Oud-Oost,Entire home/apt,10,0.31,1,33.333333333333336
De Baarsjes - Oud-West,Entire home/apt,30,0.92,1,126.0
De Baarsjes - Oud-West,Entire home/apt,21,0.64,1,69.5
Oud-Oost,Entire home/apt,16,0.49,1,62.5
De Baarsjes - Oud-West,Entire home/apt,38,1.16,1,125.0
Zuid,Entire home/apt,2,0.06,1,60.0
De Baarsjes - Oud-West,Entire home/apt,13,0.4,1,31.25
Oud-Oost,Entire home/apt,2,0.06,1,35.0
Bos en Lommer,Entire home/apt,22,0.67,1,62.5
Oostelijk Havengebied - Indische Buurt,Entire home/apt,9,0.27,1,77.5
Noord-West,Entire home/apt,6,0.27,1,60.0
Westerpark,Entire home/apt,0,0.0,1,17.3
Centrum-West,Entire home/apt,10,0.31,1,80.0
Zuid,Entire home/apt,9,0.3,1,28.75
De Baarsjes - Oud-West,Entire home/apt,7,0.22,1,28.75
Watergraafsmeer,Private room,5,0.15,1,10.0
De Baarsjes - Oud-West,Entire home/apt,0,0.0,1,42.5
De Baarsjes - Oud-West,Entire home/apt,7,0.22,1,30.0
Westerpark,Entire home/apt,15,0.47,2,96.66666666666667
De Pijp - Rivierenbuurt,Hotel room,114,3.48,1,85.0
IJburg - Zeeburgereiland,Entire home/apt,8,0.31,1,24.5
Zuid,Entire home/apt,3,0.09,1,46.0
Oostelijk Havengebied - Indische Buurt,Private room,1,0.03,1,50.0
Centrum-West,Private room,117,3.55,1,110.0
Oud-Noord,Entire home/apt,32,1.01,1,42.5
De Pijp - Rivierenbuurt,Entire home/apt,11,0.37,1,100.0
Centrum-West,Entire home/apt,6,0.19,1,37.0
De Baarsjes - Oud-West,Entire home/apt,5,0.15,1,112.5
De Baarsjes - Oud-West,Entire home/apt,4,0.12,1,62.5
Centrum-West,Entire home/apt,10,0.31,1,98.0
De Baarsjes - Oud-West,Private room,19,0.59,2,36.5
Oostelijk Havengebied - Indische Buurt,Private room,7,0.21,3,7.5
De Baarsjes - Oud-West,Entire home/apt,13,0.45,2,22.714285714285715
De Pijp - Rivierenbuurt,Entire home/apt,6,0.19,1,75.0
Bos en Lommer,Entire home/apt,0,0.0,1,60.0
Oud-Oost,Entire home/apt,30,0.93,1,49.5
Oud-Noord,Entire home/apt,10,0.31,1,30.0
Centrum-West,Entire home/apt,125,3.83,1,89.0
De Baarsjes - Oud-West,Entire home/apt,2,0.06,1,53.333333333333336
De Pijp - Rivierenbuurt,Entire home/apt,14,0.43,1,65.0
Gaasperdam - Driemond,Private room,143,4.98,1,50.0
De Pijp - Rivierenbuurt,Private room,48,1.66,2,27.5
De Baarsjes - Oud-West,Private room,159,4.84,1,40.0
Westerpark,Entire home/apt,10,0.31,1,51.666666666666664
De Pijp - Rivierenbuurt,Entire home/apt,0,0.0,1,24.333333333333332
De Baarsjes - Oud-West,Entire home/apt,23,0.78,1,75.0
Centrum-West,Entire home/apt,22,0.67,1,90.0
De Baarsjes - Oud-West,Entire home/apt,10,0.31,1,60.0
De Baarsjes - Oud-West,Private room,99,3.01,1,106.0
Westerpark,Entire home/apt,20,0.61,2,133.33333333333334
Oud-Noord,Private room,4,0.12,1,50.0
Oud-Oost,Entire home/apt,3,0.42,1,91.66666666666667
Oostelijk Havengebied - Indische Buurt,Private room,26,0.79,2,70.0
Buitenveldert - Zuidas,Private room,19,0.59,1,25.0
Westerpark,Entire home/apt,7,0.21,1,24.0
Bos en Lommer,Entire home/apt,5,0.15,1,100.0
Centrum-West,Entire home/apt,9,0.28,34,50.0
De Pijp - Rivierenbuurt,Entire home/apt,3,0.09,1,50.0
Oud-Oost,Entire home/apt,10,0.31,1,70.0
Watergraafsmeer,Entire home/apt,5,0.16,1,19.0
Zuid,Entire home/apt,13,0.43,1,100.0
Westerpark,Entire home/apt,11,0.34,1,50.0
Buitenveldert - Zuidas,Entire home/apt,12,0.36,1,41.666666666666664
Watergraafsmeer,Entire home/apt,6,0.19,1,80.5
De Baarsjes - Oud-West,Entire home/apt,13,0.4,1,54.5
Centrum-West,Entire home/apt,130,3.97,1,100.0
Centrum-West,Entire home/apt,39,1.23,1,61.666666666666664
De Pijp - Rivierenbuurt,Entire home/apt,2,0.06,1,53.0
De Pijp - Rivierenbuurt,Private room,1,0.03,1,30.0
Oud-Oost,Entire home/apt,23,0.71,31,80.0
Bos en Lommer,Entire home/apt,0,0.0,1,67.5
Zuid,Entire home/apt,12,0.37,1,65.0
De Baarsjes - Oud-West,Entire home/apt,26,0.83,1,98.0
De Pijp - Rivierenbuurt,Entire home/apt,11,0.39,2,64.5
De Baarsjes - Oud-West,Entire home/apt,18,0.57,1,116.33333333333333
Centrum-West,Entire home/apt,10,0.32,1,190.0
Centrum-West,Entire home/apt,5,0.16,1,40.0
Bos en Lommer,Private room,26,0.83,3,79.0
De Baarsjes - Oud-West,Entire home/apt,9,0.36,1,100.0
Noord-West,Entire home/apt,6,0.18,1,36.666666666666664
Zuid,Entire home/apt,5,0.16,1,94.5
Zuid,Entire home/apt,0,0.0,1,80.0
Noord-Oost,Entire home/apt,23,1.08,1,85.0
Watergraafsmeer,Entire home/apt,2,0.08,1,25.0
Centrum-Oost,Entire home/apt,40,1.32,2,46.0
De Baarsjes - Oud-West,Entire home/apt,10,0.32,1,73.33333333333333
De Baarsjes - Oud-West,Private room,4,0.13,1,75.0
De Baarsjes - Oud-West,Private room,272,10.78,2,95.0
Bijlmer-Centrum,Private room,1,0.03,1,30.0
Oostelijk Havengebied - Indische Buurt,Entire home/apt,1,0.03,1,62.5
Oud-Oost,Entire home/apt,6,0.29,1,45.0
De Baarsjes - Oud-West,Private room,5,0.17,2,147.0
Westerpark,Entire home/apt,3,0.12,1,129.0
IJburg - Zeeburgereiland,Entire home/apt,3,0.1,1,33.333333333333336
De Pijp - Rivierenbuurt,Entire home/apt,1,0.03,1,240.0
De Pijp - Rivierenbuurt,Entire home/apt,13,0.41,1,79.5
De Baarsjes - Oud-West,Entire home/apt,21,0.65,1,33.333333333333336
Centrum-Oost,Private room,12,0.37,1,67.5
Oud-Oost,Entire home/apt,1,0.03,1,33.0
Centrum-Oost,Entire home/apt,2,0.06,1,33.333333333333336
De Baarsjes - Oud-West,Private room,0,0.0,1,23.0
De Pijp - Rivierenbuurt,Entire home/apt,1,0.03,1,40.0
Watergraafsmeer,Shared room,11,0.34,1,55.0
Centrum-West,Entire home/apt,6,0.18,1,62.5
Bos en Lommer,Entire home/apt,10,0.3,1,49.5
Centrum-Oost,Entire home/apt,2,0.06,1,47.5
De Pijp - Rivierenbuurt,Entire home/apt,5,0.15,1,75.0
Westerpark,Entire home/apt,6,0.18,1,60.0
IJburg - Zeeburgereiland,Entire home/apt,2,0.06,1,30.0
Oud-Oost,Entire home/apt,2,0.06,1,90.0
Noord-Oost,Entire home/apt,19,0.59,1,85.0
Zuid,Entire home/apt,0,0.0,1,42.857142857142854
Noord-Oost,Private room,1,0.04,1,80.0
Bos en Lommer,Entire home/apt,7,0.22,1,21.25
Oud-Oost,Entire home/apt,17,0.52,1,104.5
De Pijp - Rivierenbuurt,Entire home/apt,31,0.95,1,41.666666666666664
Westerpark,Entire home/apt,6,0.24,1,36.0
Oostelijk Havengebied - Indische Buurt,Entire home/apt,27,0.86,1,34.5
Centrum-Oost,Entire home/apt,8,0.25,1,144.5
De Baarsjes - Oud-West,Private room,51,1.59,1,72.0
Bos en Lommer,Entire home/apt,5,0.16,1,58.333333333333336
Zuid,Entire home/apt,0,0.0,2,55.4
Oud-Oost,Entire home/apt,0,0.0,1,21.428571428571427
Noord-Oost,Entire home/apt,7,0.22,2,21.0
Noord-West,Private room,35,1.54,3,21.333333333333332
Centrum-Oost,Entire home/apt,13,0.4,1,109.5
Centrum-West,Entire home/apt,2,0.19,19,25.714285714285715
De Baarsjes - Oud-West,Entire home/apt,5,0.16,1,23.333333333333332
Centrum-Oost,Private room,124,3.94,1,90.0
De Baarsjes - Oud-West,Entire home/apt,18,0.56,1,48.333333333333336
De Baarsjes - Oud-West,Entire home/apt,0,0.0,1,40.0
Bos en Lommer,Entire home/apt,3,0.13,2,55.0
Westerpark,Entire home/apt,7,0.21,1,115.0
Westerpark,Entire home/apt,0,0.0,1,26.666666666666668
Oud-Oost,Entire home/apt,4,0.12,1,55.0
Centrum-Oost,Entire home/apt,18,0.56,31,35.0
De Baarsjes - Oud-West,Entire home/apt,51,1.56,1,49.5
Centrum-West,Entire home/apt,3,0.09,1,130.0
Westerpark,Entire home/apt,0,0.0,1,50.0
Noord-Oost,Private room,2,0.06,1,42.5
De Baarsjes - Oud-West,Entire home/apt,0,0.0,1,15.0
IJburg - Zeeburgereiland,Entire home/apt,12,0.37,1,19.8
Bijlmer-Centrum,Entire home/apt,0,0.0,1,20.0
Zuid,Entire home/apt,7,0.23,1,76.33333333333333
Centrum-Oost,Entire home/apt,21,0.66,1,80.0
Zuid,Entire home/apt,1,0.03,1,54.5
De Baarsjes - Oud-West,Entire home/apt,6,0.19,1,50.0
Bos en Lommer,Entire home/apt,26,0.79,1,23.75
Oostelijk Havengebied - Indische Buurt,Private room,41,1.26,1,66.0
Bos en Lommer,Private room,23,0.72,1,27.5
Watergraafsmeer,Entire home/apt,7,0.22,1,53.333333333333336
Bos en Lommer,Entire home/apt,23,0.71,1,54.5
De Baarsjes - Oud-West,Entire home/apt,29,0.89,1,45.0
Gaasperdam - Driemond,Entire home/apt,1,0.03,1,2.4833333333333334
Noord-West,Entire home/apt,4,0.13,1,100.0
Westerpark,Entire home/apt,5,0.15,1,112.5
De Pijp - Rivierenbuurt,Entire home/apt,3,0.09,1,70.0
Centrum-West,Private room,3,0.09,1,115.0
Centrum-West,Private room,176,5.46,2,60.0
Centrum-West,Entire home/apt,6,0.2,1,76.66666666666667
Bos en Lommer,Entire home/apt,0,0.0,1,38.333333333333336
Oud-Oost,Entire home/apt,13,0.43,1,127.0
Centrum-Oost,Entire home/apt,76,2.53,1,70.0
Centrum-West,Entire home/apt,20,0.64,34,83.0
De Baarsjes - Oud-West,Entire home/apt,0,0.0,1,113.33333333333333
Centrum-West,Private room,102,3.18,2,40.0
Zuid,Entire home/apt,0,0.0,1,130.0
Buitenveldert - Zuidas,Private room,0,0.0,1,79.0
Buitenveldert - Zuidas,Entire home/apt,37,1.17,1,38.333333333333336
Zuid,Entire home/apt,16,0.5,1,36.666666666666664
Westerpark,Entire home/apt,8,0.33,1,100.0
Oud-Oost,Private room,12,0.38,2,95.0
Centrum-Oost,Entire home/apt,9,0.43,1,88.5
Oostelijk Havengebied - Indische Buurt,Entire home/apt,30,0.93,1,65.0
De Baarsjes - Oud-West,Entire home/apt,4,0.14,2,110.0
Centrum-West,Entire home/apt,4,0.13,1,66.66666666666667
IJburg - Zeeburgereiland,Entire home/apt,3,0.12,1,58.333333333333336
Geuzenveld - Slotermeer,Entire home/apt,7,0.22,1,30.0
De Pijp - Rivierenbuurt,Entire home/apt,6,0.19,1,135.0
IJburg - Zeeburgereiland,Entire home/apt,0,0.0,1,21.8
De Baarsjes - Oud-West,Entire home/apt,40,1.24,1,300.0
Centrum-West,Private room,99,3.15,2,37.666666666666664
Centrum-Oost,Entire home/apt,13,0.41,1,205.0
Geuzenveld - Slotermeer,Private room,3,0.09,1,20.0
De Pijp - Rivierenbuurt,Entire home/apt,0,0.0,1,27.8
Zuid,Entire home/apt,1,0.03,1,116.0
De Baarsjes - Oud-West,Entire home/apt,1,0.03,1,50.0
Buitenveldert - Zuidas,Entire home/apt,4,0.13,2,20.0
Oostelijk Havengebied - Indische Buurt,Entire home/apt,20,0.62,1,62.5
Bos en Lommer,Entire home/apt,5,0.17,1,55.0
Oud-Oost,Entire home/apt,1,0.03,1,62.5
Centrum-Oost,Entire home/apt,9,0.28,1,50.0
De Baarsjes - Oud-West,Entire home/apt,3,0.09,1,48.333333333333336
De Pijp - Rivierenbuurt,Entire home/apt,1,0.03,1,3.96
Oud-Oost,Entire home/apt,9,0.38,1,83.33333333333333
Zuid,Entire home/apt,0,0.0,1,13.636363636363637
Oostelijk Havengebied - Indische Buurt,Entire home/apt,14,0.61,1,28.666666666666668
Bos en Lommer,Private room,0,0.0,2,50.0
Westerpark,Private room,0,0.0,4,35.0
De Pijp - Rivierenbuurt,Private room,2,0.06,1,45.0
De Baarsjes - Oud-West,Entire home/apt,12,0.37,1,57.5
Westerpark,Entire home/apt,0,0.0,1,350.0
Oostelijk Havengebied - Indische Buurt,Entire home/apt,5,0.15,1,71.5
Noord-West,Entire home/apt,36,1.13,7,184.0
De Baarsjes - Oud-West,Entire home/apt,8,0.25,14,39.5
De Pijp - Rivierenbuurt,Private room,3,0.09,1,50.0
Centrum-West,Entire home/apt,24,0.77,1,192.5
Centrum-Oost,Entire home/apt,1,0.03,1,60.0
De Pijp - Rivierenbuurt,Entire home/apt,4,0.12,1,79.5
De Baarsjes - Oud-West,Entire home/apt,9,0.28,1,28.333333333333332
De Baarsjes - Oud-West,Entire home/apt,3,0.1,1,10.642857142857142
Centrum-West,Entire home/apt,10,0.32,1,40.0
Oud-Noord,Entire home/apt,0,0.0,1,20.0
IJburg - Zeeburgereiland,Entire home/apt,3,0.09,1,43.333333333333336
Centrum-West,Entire home/apt,5,0.17,38,72.0
De Baarsjes - Oud-West,Entire home/apt,23,0.75,1,54.5
Oud-Noord,Private room,38,1.23,1,62.5
Centrum-Oost,Private room,84,2.67,1,67.5
Slotervaart,Private room,2,0.06,1,45.0
Centrum-Oost,Entire home/apt,0,0.0,1,175.0
Oud-Oost,Entire home/apt,11,0.34,1,66.33333333333333
De Baarsjes - Oud-West,Entire home/apt,40,1.32,9,21.571428571428573
De Baarsjes - Oud-West,Private room,112,3.47,1,41.666666666666664
Oud-Noord,Entire home/apt,8,0.25,1,37.5
Zuid,Entire home/apt,0,0.0,1,50.0
De Baarsjes - Oud-West,Entire home/apt,3,0.11,1,100.0
De Baarsjes - Oud-West,Entire home/apt,7,0.22,1,60.5
IJburg - Zeeburgereiland,Entire home/apt,9,0.36,3,112.5
De Baarsjes - Oud-West,Entire home/apt,25,0.79,1,55.0
Oud-Oost,Entire home/apt,24,0.75,1,57.5
Oud-Noord,Entire home/apt,3,0.09,1,60.0
Noord-West,Entire home/apt,5,0.15,1,50.0
De Pijp - Rivierenbuurt,Private room,160,5.14,1,19.666666666666668
Zuid,Entire home/apt,2,0.06,1,112.5
