neighbourhood,room_type,number_of_reviews,reviews_per_month,calculated_host_listings_count,price/night
De Baarsjes - Oud-West,Entire home/apt,28,0.33,1,41.666666666666664
Oud-Oost,Entire home/apt,19,0.32,1,75.0
Westerpark,Private room,432,5.64,2,52.5
Slotervaart,Private room,38,0.89,1,36.0
De Baarsjes - Oud-West,Entire home/apt,54,0.57,1,66.66666666666667
Slotervaart,Entire home/apt,45,0.47,1,37.5
Bos en Lommer,Entire home/apt,96,1.01,1,39.5
De Baarsjes - Oud-West,Private room,39,0.44,1,18.571428571428573
De Baarsjes - Oud-West,Entire home/apt,24,0.26,2,30.0
De Baarsjes - Oud-West,Entire home/apt,16,0.2,1,133.33333333333334
De Pijp - Rivierenbuurt,Entire home/apt,33,0.36,1,35.0
Westerpark,Entire home/apt,22,0.23,1,52.5
Zuid,Entire home/apt,11,0.13,1,29.25
Centrum-Oost,Entire home/apt,60,0.66,1,99.66666666666667
Zuid,Private room,127,1.39,2,46.666666666666664
Westerpark,Entire home/apt,93,0.98,1,26.0
Centrum-West,Entire home/apt,109,1.26,8,100.0
Watergraafsmeer,Entire home/apt,6,0.07,1,24.0
Noord-Oost,Private room,2,0.09,1,60.0
Zuid,Entire home/apt,76,0.8,1,77.5
Westerpark,Entire home/apt,59,0.62,1,62.5
De Baarsjes - Oud-West,Entire home/apt,0,0.0,1,22.5
Centrum-West,Entire home/apt,13,0.14,2,72.5
Centrum-West,Entire home/apt,23,0.25,1,53.333333333333336
Bos en Lommer,Entire home/apt,23,0.28,1,36.0
Westerpark,Private room,202,4.69,1,55.0
Slotervaart,Private room,72,0.77,3,80.0
De Baarsjes - Oud-West,Entire home/apt,30,0.61,1,169.0
Watergraafsmeer,Entire home/apt,57,0.61,1,28.0
De Baarsjes - Oud-West,Private room,218,2.37,1,21.666666666666668
Oud-Oost,Entire home/apt,7,0.07,1,34.75
Westerpark,Entire home/apt,112,1.18,1,73.75
Bos en Lommer,Entire home/apt,60,0.66,1,66.66666666666667
Centrum-West,Entire home/apt,16,0.17,3,83.0
De Baarsjes - Oud-West,Entire home/apt,43,0.74,1,230.0
De Baarsjes - Oud-West,Entire home/apt,23,0.41,1,55.0
Gaasperdam - Driemond,Shared room,67,0.84,4,30.0
Oostelijk Havengebied - Indische Buurt,Entire home/apt,46,0.54,1,99.66666666666667
De Baarsjes - Oud-West,Entire home/apt,18,0.19,1,10.0
Centrum-West,Entire home/apt,34,0.36,2,83.33333333333333
Westerpark,Entire home/apt,162,1.82,1,40.0
Westerpark,Entire home/apt,10,0.18,1,62.5
De Baarsjes - Oud-West,Entire home/apt,22,0.23,1,120.0
Buitenveldert - Zuidas,Entire home/apt,20,0.22,2,44.75
Zuid,Entire home/apt,25,0.27,1,175.0
Oud-Oost,Entire home/apt,5,0.05,1,48.75
De Pijp - Rivierenbuurt,Entire home/apt,16,0.17,1,37.5
Zuid,Entire home/apt,55,0.59,2,70.0
Centrum-Oost,Entire home/apt,97,1.05,1,36.666666666666664
Zuid,Private room,369,3.92,1,16.25
De Baarsjes - Oud-West,Entire home/apt,10,0.11,1,50.0
Centrum-West,Entire home/apt,5,0.09,1,41.666666666666664
De Baarsjes - Oud-West,Entire home/apt,26,0.32,1,103.0
Centrum-Oost,Entire home/apt,15,0.22,2,49.0
Centrum-Oost,Entire home/apt,33,0.35,1,66.66666666666667
Westerpark,Private room,439,4.79,1,74.5
De Baarsjes - Oud-West,Entire home/apt,6,0.07,1,13.857142857142858
De Pijp - Rivierenbuurt,Entire home/apt,76,0.83,1,83.33333333333333
Slotervaart,Entire home/apt,10,0.13,1,12.142857142857142
Bos en Lommer,Entire home/apt,22,0.23,1,48.0
Oud-Noord,Entire home/apt,10,0.29,1,25.0
Oud-Noord,Entire home/apt,20,0.21,1,42.5
Centrum-Oost,Entire home/apt,1,0.03,1,115.0
Centrum-Oost,Entire home/apt,170,2.69,4,120.0
Centrum-Oost,Entire home/apt,39,0.42,1,0.6111111111111112
Oud-Oost,Entire home/apt,43,0.53,1,50.0
Centrum-West,Entire home/apt,58,0.8,4,38.57142857142857
Oud-Oost,Entire home/apt,25,0.27,1,17.0
Zuid,Entire home/apt,17,0.18,1,23.6
De Baarsjes - Oud-West,Entire home/apt,40,0.44,1,32.5
Watergraafsmeer,Entire home/apt,7,0.07,1,70.0
Zuid,Entire home/apt,11,0.12,1,275.0
Bijlmer-Oost,Entire home/apt,66,0.71,1,225.0
Centrum-Oost,Private room,337,4.64,1,28.333333333333332
De Baarsjes - Oud-West,Entire home/apt,210,2.38,1,45.0
Zuid,Entire home/apt,32,0.34,1,100.0
Centrum-Oost,Private room,259,2.8,1,45.0
Oud-Oost,Entire home/apt,28,0.31,1,150.0
Centrum-West,Entire home/apt,20,0.21,1,37.5
Westerpark,Private room,284,3.26,1,41.5
Centrum-West,Hotel room,606,6.48,2,40.0
Watergraafsmeer,Entire home/apt,31,0.37,1,46.333333333333336
De Baarsjes - Oud-West,Entire home/apt,34,0.37,1,116.0
Buitenveldert - Zuidas,Entire home/apt,7,0.09,1,45.0
Noord-Oost,Private room,363,3.9,10,87.0
Westerpark,Private room,195,2.11,1,69.0
Westerpark,Entire home/apt,32,0.35,1,78.33333333333333
De Baarsjes - Oud-West,Entire home/apt,19,0.21,1,40.0
Oud-Oost,Entire home/apt,28,0.34,1,53.25
De Baarsjes - Oud-West,Entire home/apt,18,0.19,1,35.0
Westerpark,Entire home/apt,71,0.76,1,35.0
Westerpark,Entire home/apt,0,0.0,1,25.0
Centrum-West,Hotel room,372,3.97,2,45.0
De Pijp - Rivierenbuurt,Entire home/apt,14,0.15,1,25.0
Oud-Oost,Entire home/apt,7,0.08,1,67.5
De Baarsjes - Oud-West,Entire home/apt,36,0.39,1,62.5
Centrum-West,Entire home/apt,47,0.51,1,37.5
Centrum-West,Entire home/apt,21,0.23,1,25.0
Westerpark,Entire home/apt,141,1.52,1,14.285714285714286
Zuid,Entire home/apt,15,0.18,1,19.75
Bos en Lommer,Entire home/apt,1,0.01,1,52.5
De Baarsjes - Oud-West,Entire home/apt,22,0.24,1,21.0
Watergraafsmeer,Entire home/apt,41,0.44,1,33.0
Centrum-West,Entire home/apt,216,2.4,1,33.333333333333336
Centrum-Oost,Entire home/apt,107,1.17,1,69.5
De Baarsjes - Oud-West,Entire home/apt,34,0.37,1,20.0
Westerpark,Entire home/apt,17,0.18,1,19.8
De Pijp - Rivierenbuurt,Entire home/apt,28,0.33,1,30.0
De Baarsjes - Oud-West,Entire home/apt,8,0.09,1,19.166666666666668
Westerpark,Entire home/apt,102,1.1,1,50.0
Buitenveldert - Zuidas,Entire home/apt,14,0.43,1,42.5
De Baarsjes - Oud-West,Entire home/apt,29,0.31,1,46.666666666666664
Centrum-West,Hotel room,645,6.98,2,85.0
Centrum-West,Hotel room,551,6.0,2,85.0
Centrum-Oost,Entire home/apt,4,0.08,1,37.5
De Baarsjes - Oud-West,Private room,99,1.17,1,80.0
Watergraafsmeer,Entire home/apt,34,0.38,1,65.0
Watergraafsmeer,Entire home/apt,12,0.14,1,42.5
Centrum-Oost,Entire home/apt,22,0.25,1,50.0
Oud-Noord,Entire home/apt,64,0.69,1,2.9
De Pijp - Rivierenbuurt,Entire home/apt,0,0.0,1,9.928571428571429
De Baarsjes - Oud-West,Entire home/apt,10,0.12,1,15.0
Noord-West,Entire home/apt,15,0.18,1,28.0
Centrum-West,Entire home/apt,29,0.32,1,49.0
Centrum-West,Entire home/apt,26,0.28,2,87.5
De Pijp - Rivierenbuurt,Entire home/apt,2,0.03,1,3.316666666666667
De Pijp - Rivierenbuurt,Entire home/apt,54,0.59,1,122.5
Centrum-West,Entire home/apt,30,0.32,1,95.0
De Pijp - Rivierenbuurt,Entire home/apt,21,0.34,1,12.5
De Baarsjes - Oud-West,Entire home/apt,4,0.06,1,34.5
Westerpark,Entire home/apt,16,0.17,1,107.0
Oud-Oost,Entire home/apt,3,0.04,1,95.0
Centrum-Oost,Entire home/apt,30,0.32,1,75.0
Centrum-Oost,Entire home/apt,44,0.63,1,98.33333333333333
Centrum-Oost,Entire home/apt,0,0.0,1,1.1111111111111112
De Pijp - Rivierenbuurt,Private room,411,5.9,1,80.0
Geuzenveld - Slotermeer,Private room,299,3.24,2,65.0
De Baarsjes - Oud-West,Entire home/apt,17,0.18,1,27.0
Centrum-Oost,Entire home/apt,81,0.96,1,4.285714285714286
Centrum-West,Private room,418,4.56,2,175.0
De Baarsjes - Oud-West,Entire home/apt,64,0.69,1,17.5
Centrum-West,Entire home/apt,120,1.32,1,35.714285714285715
De Baarsjes - Oud-West,Entire home/apt,11,0.14,3,95.0
Centrum-West,Private room,699,7.6,1,85.0
IJburg - Zeeburgereiland,Entire home/apt,23,0.25,1,17.142857142857142
De Baarsjes - Oud-West,Entire home/apt,53,0.58,1,32.666666666666664
Westerpark,Entire home/apt,60,0.65,1,48.5
De Baarsjes - Oud-West,Entire home/apt,170,1.85,1,21.428571428571427
De Pijp - Rivierenbuurt,Entire home/apt,24,0.26,1,49.666666666666664
Westerpark,Entire home/apt,25,0.27,1,65.0
Bos en Lommer,Entire home/apt,85,0.93,2,48.0
De Baarsjes - Oud-West,Entire home/apt,9,0.1,1,50.0
De Baarsjes - Oud-West,Entire home/apt,9,0.11,1,60.0
Centrum-Oost,Entire home/apt,120,1.32,1,219.0
Centrum-West,Entire home/apt,27,0.3,1,68.75
De Pijp - Rivierenbuurt,Private room,186,3.59,1,36.666666666666664
De Pijp - Rivierenbuurt,Entire home/apt,48,0.53,1,65.0
De Baarsjes - Oud-West,Entire home/apt,26,0.35,1,40.333333333333336
Centrum-West,Entire home/apt,6,0.07,1,74.5
De Baarsjes - Oud-West,Entire home/apt,59,0.67,1,99.0
Centrum-West,Entire home/apt,19,0.32,1,125.0
Centrum-Oost,Entire home/apt,24,0.52,1,43.333333333333336
De Baarsjes - Oud-West,Entire home/apt,147,1.66,1,60.0
Zuid,Entire home/apt,11,0.2,1,18.333333333333332
Centrum-West,Entire home/apt,85,0.94,2,39.0
Westerpark,Private room,183,2.01,1,34.5
Westerpark,Entire home/apt,0,0.0,2,14.9
De Pijp - Rivierenbuurt,Entire home/apt,29,0.32,1,49.5
Centrum-Oost,Entire home/apt,109,1.2,1,140.0
De Pijp - Rivierenbuurt,Entire home/apt,53,0.58,1,250.0
Centrum-West,Entire home/apt,106,1.17,1,24.166666666666668
Centrum-Oost,Private room,75,2.03,2,41.666666666666664
Centrum-West,Hotel room,221,3.55,2,62.5
Westerpark,Private room,351,3.89,1,23.333333333333332
Oud-Oost,Entire home/apt,28,0.32,1,49.5
De Baarsjes - Oud-West,Entire home/apt,185,2.04,3,39.285714285714285
Centrum-Oost,Entire home/apt,10,0.11,1,30.0
Bos en Lommer,Entire home/apt,69,1.13,1,9.285714285714286
Centrum-Oost,Private room,77,0.84,2,33.0
Centrum-Oost,Entire home/apt,149,1.65,2,19.833333333333332
Westerpark,Entire home/apt,35,0.4,3,149.5
Centrum-West,Entire home/apt,49,0.54,1,58.333333333333336
